Name	RowSearch	c1	c2	c3
ColSearch	Search	(Country 1)	(Country 2)	(Country 3)
a1_b1	(Indic 1) AND (Scope 1)	RESULT	RESULT	RESULT
a1_b2	(Indic 1) AND (Scope 2)	RESULT	RESULT	RESULT
a1_b3	(Indic 1) AND (Scope 3)	RESULT	RESULT	RESULT
a2_b1	(Indic 2) AND (Scope 1)	RESULT	RESULT	RESULT
a2_b2	(Indic 2) AND (Scope 2)	RESULT	RESULT	RESULT
a2_b3	(Indic 2) AND (Scope 3)	RESULT	RESULT	RESULT
a3_b1	(Indic 3) AND (Scope 1)	RESULT	RESULT	RESULT
a3_b2	(Indic 3) AND (Scope 2)	RESULT	RESULT	RESULT
a3_b3	(Indic 3) AND (Scope 3)	RESULT	RESULT	RESULT
