rank	freq	highest	term1	term2	norMean	mean	sum	items
0.04	2	131	adapalene	"rosacea"	54.50	69.00	276	4
0.04	2	23779	insulin	"burning mouth syndrome"	54.82	654.27	111880	171
0.04	2	23779	insulin	"dysmenorrhea"	54.82	654.27	111880	171
0.04	2	23779	insulin	"stomatitis, aphthous"	54.82	654.27	111880	171
0.04	2	23779	insulin	"urinary retention"	54.82	654.27	111880	171
0.04	2	3982	interferon	"megacolon"	51.16	172.90	28356	164
0.04	2	3982	interferon	"obsessive-compulsive disorder"	51.16	172.90	28356	164
0.04	2	3982	interferon	"polycystic kidney diseases"	51.16	172.90	28356	164
0.04	2	3982	interferon	"premenstrual syndrome"	51.16	172.90	28356	164
0.04	2	3982	interferon	"sphingolipidoses"	51.16	172.90	28356	164
0.04	2	3982	interferon	"tension-type headache"	51.16	172.90	28356	164
0.05	2	1361	dexamethasone	"adenomatous polyposis coli"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"amyotrophic lateral sclerosis"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"celiac disease"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"dysmenorrhea"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"gingivitis"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"hemolytic-uremic syndrome"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"hyperhidrosis"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"intestinal polyposis"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"long qt syndrome"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"myotonic dystrophy"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"raynaud disease"	36.40	76.45	12385	162
0.05	2	1361	dexamethasone	"wasting syndrome"	36.40	76.45	12385	162
0.05	2	14507	angiotensin	"amenorrhea"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"eczema"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"endocarditis"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"graft vs host disease"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"intestinal polyposis"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"lymphedema"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"motor neuron disease"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"panniculitis"	36.76	253.97	36318	143
0.05	2	14507	angiotensin	"urinary incontinence, stress"	36.76	253.97	36318	143
0.05	2	172	zotarolimus	"diabetes mellitus, type 2"	40.86	58.86	412	7
0.05	2	172	zotarolimus	"diabetic angiopathies"	40.86	58.86	412	7
0.05	2	172	zotarolimus	"vasculitis"	40.86	58.86	412	7
0.05	2	178	nifurtimox	"encephalitis"	36.67	58.33	350	6
0.05	2	178	nifurtimox	"meningitis"	36.67	58.33	350	6
0.05	2	182	ibritumomab	"graft vs host disease"	42.60	72.40	362	5
0.05	2	1988	gold	"addison disease"	43.51	75.88	13506	178
0.05	2	1988	gold	"amenorrhea"	43.51	75.88	13506	178
0.05	2	1988	gold	"hemolytic-uremic syndrome"	43.51	75.88	13506	178
0.05	2	1988	gold	"hyperhidrosis"	43.51	75.88	13506	178
0.05	2	1988	gold	"neuralgia, postherpetic"	43.51	75.88	13506	178
0.05	2	1988	gold	"tourette syndrome"	43.51	75.88	13506	178
0.05	2	199	prasugrel	"intraoperative complications"	39.75	53.38	427	8
0.05	2	199	prasugrel	"renal insufficiency, chronic"	39.75	53.38	427	8
0.05	2	2280	prednisone	"adenomatous polyposis coli"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"eating disorders"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"fatigue syndrome, chronic"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"heartburn"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"hiv wasting syndrome"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"hyperostosis"	39.04	103.79	16607	160
