Ensembl Gene ID	Pathway stable ID	Pathway DB_ID
Y113G7B.24		1368629
Y47D3A.29		1368628
Y47D3A.29		1368629
Y39G10AR.14		1368629
F34D10.2		1368629
T24C4.5		1368628
T24C4.5		1368629
F31C3.5		1368629
ZK632.1		1368629
F32D1.10		1368629
C25D7.6		1368629
Y17G7B.5		1368629
R10E4.4		1368629
F33H2.5		1368628
F33H2.5		1368629
R01H10.1		1368628
R01H10.1		1368629
F08B4.5		1368628
F08B4.5		1368629
F58A4.4		1368628
F58A4.4		1368629
R53.6		1368629
W02D9.1		1368628
W02D9.1		1368629
F44B9.8		1368629
F31E3.3		1368629
Y113G7B.24		1368629
W03D2.4		1368629
Y47D3A.29		1368629
Y39G10AR.14		1368629
F34D10.2		1368629
C39E9.13		1368629
T24C4.5		1368629
F58F6.4		1368629
F31C3.5		1368629
ZK632.1		1368629
F32D1.10		1368629
C29A12.3		1368629
C25D7.6		1368629
Y17G7B.5		1368629
R10E4.4		1368629
R01H10.1		1368629
F33H2.5		1368629
F08B4.5		1368629
R53.6		1368629
F58A4.4		1368628
F58A4.4		1368629
W02D9.1		1368629
F44B9.8		1368629
Y47G6A.8		1368629
C54G10.2		1368629
F31E3.3		1368629
Y113G7B.24		1368629
Y113G7B.24		1368630
Y47D3A.29		1368630
C39E9.13		1368629
C39E9.13		1368630
T24C4.5		1368629
T24C4.5		1368630
F58F6.4		1368629
F58F6.4		1368630
F31C3.5		1368629
F31C3.5		1368630
F32D1.10		1368629
F32D1.10		1368630
C29A12.3		1368629
C29A12.3		1368630
C25D7.6		1368629
C25D7.6		1368630
F33H2.5		1368630
F08B4.5		1368630
R53.6		1368629
R53.6		1368630
Y105C5B.13		1368630
F10C2.4		1368629
F10C2.4		1368630
Y47G6A.8		1368629
Y47G6A.8		1368630
Y38F1A.5		1368630
F12F6.7		1368629
F12F6.7		1368630
W03D2.4		1368629
W03D2.4		1368630
Y39G10AR.14		1368629
Y39G10AR.14		1368630
F34D10.2		1368629
F34D10.2		1368630
C09G4.3		1368630
ZK632.1		1368629
ZK632.1		1368630
Y17G7B.5		1368629
Y17G7B.5		1368630
R01H10.1		1368630
R10E4.4		1368629
R10E4.4		1368630
F58A4.4		1368629
F58A4.4		1368630
W02D9.1		1368630
F44B9.8		1368629
F44B9.8		1368630
R12H7.5		1368630
F47H4.10		1368630
C54G10.2		1368629
C54G10.2		1368630
F31E3.3		1368629
F31E3.3		1368630
Y113G7B.24		1368630
Y113G7B.24		1368631
Y47D3A.29		1368630
Y47D3A.29		1368631
Y47D7A.8		1368630
Y47D7A.8		1368631
C52D10.7		1368630
C52D10.7		1368631
C39E9.13		1368629
C39E9.13		1368630
C39E9.13		1368631
T24C4.5		1368630
T24C4.5		1368631
F58F6.4		1368629
F58F6.4		1368630
F58F6.4		1368631
F31C3.5		1368630
F31C3.5		1368631
F32D1.10		1368630
F32D1.10		1368631
C29A12.3		1368629
C29A12.3		1368630
C29A12.3		1368631
C25D7.6		1368630
C25D7.6		1368631
F46A9.5		1368630
F46A9.5		1368631
F33H2.5		1368630
F33H2.5		1368631
K08E7.7		1368630
F08B4.5		1368630
F08B4.5		1368631
Y37H2C.2		1368630
Y37H2C.2		1368631
R53.6		1368630
R53.6		1368631
F56B3.12		1368630
F56B3.12		1368631
Y105C5B.13		1368630
Y105C5B.13		1368631
F46A9.4		1368630
F46A9.4		1368631
F10C2.4		1368629
F10C2.4		1368630
F10C2.4		1368631
Y60A3A.18		1368630
Y47G6A.8		1368629
Y47G6A.8		1368630
Y47G6A.8		1368631
F54D10.1		1368630
F54D10.1		1368631
Y47D7A.1		1368630
Y47D7A.1		1368631
Y38F1A.5		1368630
Y38F1A.5		1368631
K08H2.1		1368630
F12F6.7		1368629
F12F6.7		1368630
F12F6.7		1368631
W03D2.4		1368629
W03D2.4		1368630
W03D2.4		1368631
Y39G10AR.14		1368630
Y39G10AR.14		1368631
C52D10.9		1368630
F34D10.2		1368630
F34D10.2		1368631
D2045.6		1368630
ZK632.1		1368630
ZK632.1		1368631
C09G4.3		1368630
C09G4.3		1368631
Y17G7B.5		1368630
Y17G7B.5		1368631
R10E4.4		1368630
R10E4.4		1368631
R01H10.1		1368630
R01H10.1		1368631
C52D10.8		1368630
F58A4.4		1368630
F58A4.4		1368631
F44G3.6		1368630
R12H7.3		1368630
R12H7.3		1368631
F48E8.7		1368630
W02D9.1		1368630
W02D9.1		1368631
F44B9.8		1368630
F44B9.8		1368631
C42D4.6		1368630
C42D4.6		1368631
C52D10.6		1368630
R12H7.5		1368630
R12H7.5		1368631
F47H4.10		1368630
F47H4.10		1368631
F18H3.5		1368630
C54G10.2		1368629
C54G10.2		1368630
C54G10.2		1368631
C06A8.4		1368630
C06A8.4		1368631
F31E3.3		1368630
F31E3.3		1368631
Y47D7A.8		1368630
Y47D7A.8		1368631
T24C4.5		1368631
T24C4.5		1368632
T24C4.5		1368633
T24C4.5		1368634
T24C4.5		1368635
T24C4.5		1368636
T24C4.5		1368637
F58F6.4		1368630
F58F6.4		1368631
F58F6.4		1368632
C29A12.3		1368630
C29A12.3		1368631
C29A12.3		1368632
F33H2.5		1368631
F33H2.5		1368632
F33H2.5		1368633
F33H2.5		1368634
F33H2.5		1368635
F33H2.5		1368636
F33H2.5		1368637
K08E7.7		1368630
K08E7.7		1368631
F08B4.5		1368631
F08B4.5		1368632
F08B4.5		1368633
F08B4.5		1368634
F08B4.5		1368635
F08B4.5		1368636
F08B4.5		1368637
Y37H2C.2		1368630
Y37H2C.2		1368631
Y37H2C.2		1368637
F56B3.12		1368630
F56B3.12		1368631
F56B3.12		1368637
F10C2.4		1368630
F10C2.4		1368631
F10C2.4		1368632
Y60A3A.18		1368630
Y60A3A.18		1368631
Y47G6A.8		1368630
Y47G6A.8		1368631
Y47G6A.8		1368632
Y47D7A.1		1368630
Y47D7A.1		1368631
Y47D7A.1		1368637
Y38F1A.5		1368630
Y38F1A.5		1368631
K08H2.1		1368630
K08H2.1		1368631
H31G24.4		1368631
ZK632.1		1368631
ZK632.1		1368632
Y17G7B.5		1368631
Y17G7B.5		1368632
R10E4.4		1368631
R10E4.4		1368632
R01H10.1		1368631
R01H10.1		1368632
R01H10.1		1368633
R01H10.1		1368634
R01H10.1		1368635
R01H10.1		1368636
R01H10.1		1368637
M03D4.1		1368631
M03D4.1		1368632
M03D4.1		1368636
C52D10.8		1368630
C52D10.8		1368631
F10G7.4		1368631
F10G7.4		1368632
F10G7.4		1368636
F58A4.4		1368631
F58A4.4		1368632
F58A4.4		1368633
F58A4.4		1368634
F58A4.4		1368635
F58A4.4		1368636
F58A4.4		1368637
F44G3.6		1368630
F44G3.6		1368631
W02D9.1		1368631
W02D9.1		1368632
W02D9.1		1368633
W02D9.1		1368634
W02D9.1		1368635
W02D9.1		1368636
W02D9.1		1368637
F44B9.8		1368631
F44B9.8		1368632
ZK1307.6		1368631
F47H4.10		1368630
F47H4.10		1368631
F47H4.10		1368637
F31E3.3		1368631
F31E3.3		1368632
F53A2.4		1368631
F53A2.4		1368632
F53A2.4		1368636
F53G2.7		1368631
Y113G7B.24		1368631
Y113G7B.24		1368632
Y49F6B.1		1368631
Y47D3A.29		1368631
Y47D3A.29		1368632
Y47D3A.29		1368633
Y47D3A.29		1368634
Y47D3A.29		1368635
Y47D3A.29		1368636
Y47D3A.29		1368637
C17G10.4		1368631
C52D10.7		1368630
C52D10.7		1368631
T05G5.3		1368631
ZC168.4		1368631
C39E9.13		1368630
C39E9.13		1368631
C39E9.13		1368632
